freq(rad/ps)        WP3_minus(ps^4/rad^4)
    31.07820211      0.21957903    
    31.99012809      0.21485363    
    34.68916094      0.23289218    
    40.79663412      0.34057080    
    40.96405509      0.33489476    
    43.77615759      0.29317516    
    21.08020238      0.71402031E-01
    21.51375367      0.96671407E-01
    27.35865033      0.18363864    
    30.63817140      0.22012222    
    30.89155316      0.23144286    
    36.06232000      0.27209105    
    40.73729993      0.34155836    
    40.92416143      0.33664552    
    42.02566444      0.31596838    
    21.80087436      0.12458307    
    22.01476289      0.13946053    
    27.31817814      0.18153652    
    29.87333702      0.20008656    
    31.00164495      0.22457648    
    36.82785563      0.30600535    
    40.69872764      0.34099180    
    40.91194780      0.33707691    
    41.25260636      0.31639835    
    20.31890819      0.59029803E-01
    21.13306102      0.69054324E-01
    27.63995956      0.20838721    
    30.31796350      0.21176937    
    31.57559904      0.20667133    
    35.50284900      0.26241293    
    40.75635105      0.34052211    
    40.90658702      0.33760411    
    42.59426768      0.30375574    
    17.91419980      0.55927903E-01
    18.91290752      0.78817207E-01
    26.95028990      0.16927439    
    31.48461574      0.20674701    
    32.16278247      0.22007182    
    34.52802206      0.24196352    
    40.85699915      0.33960883    
    40.92913738      0.33611587    
    44.27129924      0.28900588    
    15.04673576      0.35725690E-01
    16.02719446      0.56224469E-01
    24.22549024      0.16312153    
    32.71071295      0.21133836    
    32.73236606      0.21231962    
    34.79430067      0.23496891    
    41.00246167      0.33199794    
    41.05486919      0.32975341    
    45.27082171      0.30515668    
    11.91039282      0.66584401E-02
    12.80511882      0.25810298E-01
    20.08663362      0.72719187E-01
    33.48195045      0.24108643    
    33.74445683      0.24187346    
    35.23909630      0.25022089    
    41.10711949      0.32701636    
    41.30600019      0.31300952    
    45.24115314      0.30834016    
     8.66334151       0.0000000    
     9.44883804      0.14580001E-01
    15.20863560      0.32719230E-01
    34.22845099      0.26645453    
    34.53513461      0.24163581    
    35.47480758      0.26195971    
    41.19844200      0.32056494    
    41.48661907      0.29994526    
    44.26160996      0.28903538    
     5.60397739       0.0000000    
     6.19208355       0.0000000    
    10.13391674      0.24323861E-01
    34.88668116      0.24209978    
    35.08506371      0.25037855    
    35.50575561      0.26245306    
    41.26442688      0.31532806    
    41.48987762      0.29959565    
    42.89362311      0.30387323    
     7.34519697      0.20804250E-01
     7.34519697      0.20804250E-01
    12.16747145      0.18663963E-01
    34.93863704      0.24588261    
    35.06381463      0.24903875    
    35.06381463      0.24903875    
    41.32435729      0.31146245    
    41.32435729      0.31146245    
    43.55692149      0.28674428    
     6.65438497       0.0000000    
     6.82728736       0.0000000    
    11.97494443      0.52285916E-02
    34.37620453      0.25453943    
    35.31520742      0.25352648    
    35.34379439      0.25545946    
    41.39369944      0.30591755    
    41.47208381      0.30037052    
    43.28257194      0.27134454    
     7.74476518      0.27408297E-01
     7.74476518      0.27408297E-01
    14.61082428      0.18901016E-01
    33.50323210      0.24122657    
    35.31743677      0.25390132    
    35.31743677      0.25390132    
    41.57271430      0.29570122    
    41.57271430      0.29570122    
    43.76545932      0.29307254    
     9.99865557      0.20995530E-01
    10.15337829      0.24973523E-01
    18.45135115      0.39315432E-01
