freq(rad/ps)        WP3_plus(ps^4/rad^4)
    31.64565206      0.87799730E-01
    33.29074911      0.58927276E-01
    34.43934374      0.68226950E-01
    40.92090746      0.63489205E-02
    41.07260050      0.77526101E-02
    45.06519981       0.0000000    
    18.93796451      0.28669378    
    19.58058461      0.26832670    
    27.33117589      0.13828524    
    31.07820211      0.98541165E-01
    31.99012809      0.70429880E-01
    34.68916094      0.68801271E-01
    40.79663412      0.59913651E-02
    40.96405509      0.66203002E-02
    43.77615759       0.0000000    
    21.08020238      0.29872119    
    21.51375367      0.29060502    
    27.35865033      0.13719887    
    30.63817140      0.82233493E-01
    30.89155316      0.91753274E-01
    36.06232000      0.46514205E-01
    40.73729993      0.60715205E-02
    40.92416143      0.63815004E-02
    42.02566444      0.94564823E-03
    21.80087436      0.28084282    
    22.01476289      0.27605416    
    27.31817814      0.13905431    
    29.87333702      0.11083544    
    31.00164495      0.95570139E-01
    36.82785563      0.44084893E-01
    40.69872764      0.63904447E-02
    40.91194780      0.62554689E-02
    41.25260636      0.92543796E-02
    20.31890819      0.30554298    
    21.13306102      0.30007715    
    27.63995956      0.12815661    
    30.31796350      0.86301569E-01
    31.57559904      0.92317276E-01
    35.50284900      0.46824913E-01
    40.75635105      0.59821179E-02
    40.90658702      0.62062150E-02
    42.59426768       0.0000000    
    17.91419980      0.28648694    
    18.91290752      0.28779543    
    26.95028990      0.15263854    
    31.48461574      0.98482827E-01
    32.16278247      0.67991699E-01
    34.52802206      0.68265446E-01
    40.85699915      0.60998171E-02
    40.92913738      0.64298046E-02
    44.27129924       0.0000000    
    15.04673576      0.40316345    
    16.02719446      0.36625741    
    24.22549024      0.19418565    
    32.71071295      0.65564708E-01
    32.73236606      0.65591437E-01
    34.79430067      0.66815017E-01
    41.00246167      0.69847597E-02
    41.05486919      0.75584689E-02
    45.27082171       0.0000000    
    11.91039282      0.46738788    
    12.80511882      0.44018925    
    20.08663362      0.30077309    
    33.48195045      0.58967007E-01
    33.74445683      0.61592208E-01
    35.23909630      0.48159825E-01
    41.10711949      0.81078465E-02
    41.30600019      0.97399405E-02
    45.24115314       0.0000000    
     8.66334151      0.49928205    
     9.44883804      0.46945103    
    15.20863560      0.40260509    
    34.22845099      0.67363307E-01
    34.53513461      0.68216094E-01
    35.47480758      0.47225156E-01
    41.19844200      0.89729656E-02
    41.48661907      0.97679925E-02
    44.26160996       0.0000000    
     5.60397739      0.53137245    
     6.19208355      0.51124490    
    10.13391674      0.46892644    
    34.88668116      0.62871015E-01
    35.08506371      0.51534001E-01
    35.50575561      0.46848896E-01
    41.26442688      0.94176118E-02
    41.48987762      0.97521297E-02
    42.89362311       0.0000000    
     7.34519697      0.46434932    
     7.34519697      0.46434932    
    12.16747145      0.47178822    
    34.93863704      0.59912397E-01
    35.06381463      0.52430823E-01
    35.06381463      0.52430823E-01
    41.32435729      0.98147663E-02
    41.32435729      0.98147663E-02
    43.55692149       0.0000000    
     6.65438497      0.50543561    
     6.82728736      0.48367694    
    11.97494443      0.46708955    
    34.37620453      0.68495303E-01
    35.31520742      0.47917679E-01
    35.34379439      0.48238764E-01
    41.39369944      0.99271220E-02
    41.47208381      0.98603731E-02
    43.28257194       0.0000000    
     7.74476518      0.46810712    
     7.74476518      0.46810712    
    14.61082428      0.43669991    
    33.50323210      0.59211997E-01
    35.31743677      0.48027479E-01
    35.31743677      0.48027479E-01
    41.57271430      0.89660907E-02
    41.57271430      0.89660907E-02
    43.76545932       0.0000000    
     9.99865557      0.46165012    
    10.15337829      0.47053056    
    18.45135115      0.30659628    
    32.38316737      0.66943256E-01
    35.08394342      0.51640808E-01
    35.18442519      0.48775773E-01
    41.49259956      0.97381530E-02
    41.54964170      0.92110076E-02
    44.75026656       0.0000000    
    12.72149335      0.44056659    
    13.16946803      0.41816798    
    22.45972527      0.26804317    
    31.13671780      0.10038084    
    34.57040353      0.68706895E-01
    35.03583944      0.54344555E-01
    41.24905920      0.91639225E-02
    41.40535140      0.99423164E-02
    45.40112946       0.0000000    
    15.53280531      0.38441007    
    16.26277461      0.36268028    
    25.79215399      0.18692665    
    30.09659633      0.99892750E-01
    33.71110167      0.61173861E-01
    34.88950575      0.62744683E-01
    40.92623224      0.64018309E-02
    41.22445225      0.91979662E-02
    45.24968392       0.0000000    
    18.21350842      0.29476402    
    19.11778012      0.27364717    
    26.72341168      0.16540659    
    30.56486453      0.80796105E-01
    32.49981445      0.65419651E-01
    34.95377733      0.59166994E-01
    40.62766596      0.69722319E-02
    41.09243443      0.79643039E-02
    44.27233683       0.0000000    
    20.56295039      0.29457648    
    21.35938287      0.29192634    
    25.79750791      0.18714852    
    31.05941255      0.97513153E-01
    31.63990661      0.88168495E-01
    35.74248166      0.43856816E-01
    40.45146950      0.74904722E-02
    41.02670416      0.73108291E-02
    42.80858897       0.0000000    
    21.96103592      0.27682708    
    22.19897911      0.27056884    
    25.53355075      0.17601117    
    29.76506971      0.11410730    
    32.10915435      0.67714865E-01
